Funeral Home,Manufacturer,Source,Construction,Model,Interior Color,Interior Fabric,Materials,Catalog Item #,Price,Date
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Wood,Courtland,n/a,Velvet,Oak,n/a,"$4,405",10/25/2021
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Wood,Fireside,n/a,Linwood,Oak,n/a,"$4,650",10/15/2023
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Wood,Trinity,n/a,Crepe,Oak,n/a,"$5,065",10/25/2021
DC Torchinsky,Thacker Caskets,Caskets | Torchinsky Hebrew Funeral Home,Wood,Noah,n/a,Crepe,Oak,43,"$4,095",6/1/2022
DC Torchinsky,Thacker Caskets,Caskets | Torchinsky Hebrew Funeral Home,Wood,Radam,n/a,Crepe,Oak,452,"$3,995",6/1/2022
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Wood,Rosette,n/a,Eyelet,Oak Veneer,n/a,"$4,675",10/15/2023
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Wood-Caskets.pdf,Wood,Woodbridge Pecan,Champagne,Velvet,Pecan,146799,"$4,995",2/1/2022
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Wood,Woodhaven,n/a,Velvet,Pecan,n/a,"$4,605",10/25/2021
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Wood,Courtland,n/a,Crepe,Pecan Veneer,n/a,"$4,795",10/15/2023
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Wood,Woodhaven,n/a,Velvet,Pecan Veneer,n/a,"$4,995",10/15/2023
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Wood-Caskets.pdf,Wood,Woodhaven Pecan,Champagne,Velvet,Pecan Veneer,205162,"$4,895",2/1/2022
McComas,Matthews,"McComas Family Funeral Homes | Abingdon, MD",Wood,BAINBRIDGE,Ivory,Velvet,Pecan Veneer,71007522,"$5,085",1/7/2024
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Wood,Finley,n/a,Crepe,Pine,n/a,"$3,920",10/25/2021
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Wood,Finley,n/a,Crepe,Pine,n/a,"$4,295",10/15/2023
McComas,Matthews,"McComas Family Funeral Homes | Abingdon, MD",Wood,COUNTRY PINE,Champagne,Weave,Pine,71006830,"$4,775",1/7/2024
